STATE,DAY_WEEK,LIGHT,WEATHER,ROAD_TYPE,VEHICLES,PERSONS,DRUNK_DRIVERS,FATALSUM
1,6,1,1,2,1,1,1,1
1,1,3,1,2,1,2,1,2
1,6,3,10,1,2,2,0,1
1,1,3,1,1,1,1,1,4
1,3,3,2,2,1,1,0,2
1,6,2,10,1,1,1,0,1
1,6,2,1,1,1,1,0,7
1,2,2,1,1,1,1,1,4
1,2,2,1,1,2,4,0,2
1,3,1,1,1,1,2,1,2
1,4,1,1,2,2,2,0,1
1,4,1,1,1,1,2,0,5
1,5,5,10,1,1,1,0,1
1,6,3,10,2,2,5,1,1
1,6,1,10,1,2,3,1,1
1,7,2,2,1,1,1,0,2
1,4,1,1,1,1,1,0,8
1,4,1,1,1,1,7,0,1
1,1,2,2,1,3,8,1,4
1,4,1,1,1,2,3,0,7
1,5,1,1,1,4,2,0,1
1,5,2,1,1,1,2,0,2
1,5,1,1,2,2,3,0,3
1,6,2,5,1,2,4,1,1
1,6,1,2,2,3,5,0,1
1,6,3,1,2,1,1,1,1
1,6,1,1,1,1,2,0,6
1,5,1,1,1,2,2,0,7
1,1,3,10,1,1,3,0,1
1,5,1,10,1,3,4,0,1
1,5,1,10,2,2,4,0,1
1,5,1,10,2,2,3,0,1
1,6,1,4,1,2,4,0,1
1,6,1,10,2,2,3,0,1
1,7,3,1,1,1,1,0,2
1,2,1,10,1,1,1,0,3
1,3,1,1,1,2,2,0,8
1,4,1,1,1,1,4,0,2
1,4,1,1,2,2,3,0,5
1,5,1,1,2,3,9,0,1
1,7,2,1,1,2,3,1,2
1,1,2,1,1,1,1,1,6
1,3,1,10,1,1,2,0,4
1,1,5,1,2,1,1,0,1
1,1,1,1,2,2,3,0,3
1,7,2,1,2,2,3,1,3
1,6,1,1,2,3,4,0,1
1,1,1,1,1,2,5,0,1
1,6,2,1,2,2,2,0,2
1,4,3,1,1,2,3,0,1
1,7,3,1,1,1,3,0,2
1,1,2,10,1,1,1,0,5
1,2,2,10,1,2,2,0,2
1,4,3,10,1,2,3,0,1
1,4,2,2,1,1,1,0,2
1,5,3,1,1,2,3,0,1
1,7,2,1,1,1,1,0,14
1,7,1,1,2,3,3,0,1
1,1,1,1,1,2,3,0,4
1,2,1,1,2,3,5,0,1
1,3,1,1,1,1,1,0,14
1,3,3,1,1,4,4,1,1
1,7,2,1,1,2,3,2,1
1,5,2,1,1,2,3,0,3
1,3,1,10,2,1,2,0,1
1,3,2,1,1,1,1,0,10
1,7,3,1,1,1,1,1,2
1,5,1,2,1,1,5,0,1
1,6,2,1,2,1,1,0,6
1,5,1,10,1,1,1,0,3
1,4,1,10,1,1,4,0,1
1,6,2,1,1,3,4,0,2
1,3,2,10,1,2,3,0,2
1,4,2,1,2,1,1,0,3
1,4,2,1,1,1,1,1,3
1,5,3,1,1,1,2,0,2
1,5,1,1,1,2,4,0,5
1,7,2,1,1,2,7,1,2
1,7,1,1,1,1,1,0,11
1,1,3,2,2,1,1,0,3
1,2,2,2,1,3,4,0,2
1,2,1,2,1,1,1,0,3
1,3,1,10,8,2,2,0,1
1,3,1,2,1,1,1,0,3
1,4,3,2,1,1,1,0,1
1,5,3,1,1,1,1,0,1
