,Player
0,A Promised Land
1, The Battle of Belonging
2,Portraits of Power
3,Remnants of a Separation
4, The India Way
5,"Jinnah: His Successes, Failures and Role in History"
6, Red Fear: The China Threat
7,The Khalistan Conspiracy
8,Jugalbandi: The BJP Before Modi
9,Honour Among Spies
10,Shuggie Bain
11,The Discomfort of Evening 
12,Hidden in Plain Sight
13,A Time for Mercy
14,Hamnet
15,Private Moscow
16,Girl in White Cotton
17,What the Body Remembers
18,The Lying Life of Adults
19,The Shadow King
