,Player
0,"['', 'PLAYER', 'MATCHES', 'INNS', 'RUNS', 'AVG', 'SR', '4s', '6s', '']"
1,"['', 'Sachin', 'Tendulkar', '200', '329', '15,921', '54', '54', '2,058', '69', '']"
2,"['', 'Rahul', 'Dravid', '163', '284', '13,265', '53', '43', '1,652', '21', '']"
3,"['', 'Sunil', 'Gavaskar', '125', '214', '10,122', '51', '66', '1,016', '26', '']"
4,"['', 'VVS', 'Laxman', '134', '225', '8,781', '46', '49', '1,135', '5', '']"
5,"['', 'Virender', 'Sehwag', '103', '178', '8,503', '49', '82', '1,219', '90', '']"
6,"['', 'Virat', 'Kohli', '91', '153', '7,490', '52', '57', '839', '22', '']"
7,"['', 'Sourav', 'Ganguly', '113', '188', '7,212', '42', '51', '900', '57', '']"
8,"['', 'Dilip', 'Vengsarkar', '116', '185', '6,868', '42', '60', '560', '17', '']"
9,"['', 'Cheteshwar', 'Pujara', '85', '142', '6,244', '47', '45', '736', '14', '']"
10,"['', 'Mohammad', 'Azharuddin', '99', '147', '6,215', '45', '63', '720', '19', '']"
11,"['', 'Gundappa', 'Viswanath', '91', '155', '6,080', '42', '76', '616', '6', '']"
12,"['', 'Kapil', 'Dev', '131', '184', '5,248', '31', '95', '587', '61', '']"
13,"['', 'MS', 'Dhoni', '90', '144', '4,876', '38', '59', '544', '78', '']"
14,"['', 'Ajinkya', 'Rahane', '73', '123', '4,583', '41', '50', '515', '32', '']"
15,"['', 'Mohinder', 'Amarnath', '69', '113', '4,378', '43', '86', '330', '21', '']"
16,"['', 'Gautam', 'Gambhir', '58', '104', '4,154', '42', '51', '517', '10', '']"
17,"['', 'Murali', 'Vijay', '61', '105', '3,982', '38', '46', '467', '33', '']"
18,"['', 'Ravi', 'Shastri', '80', '121', '3,830', '36', '48', '317', '22', '']"
19,"['', 'Polly', 'Umrigar', '59', '94', '3,631', '42', '', '151', '4', '']"
20,"['', 'Vijay', 'Manjrekar', '55', '92', '3,208', '39', '', '197', '0', '']"
