,wikipedia
0,Early life
1,Acting career
2,Early career (1969–1972)
3,Rise to stardom (1973–1974)
4,Superstardom (1975–1988)
5,Career fluctuations and sabbatical (1988–1992)
6,Business ventures and acting comeback (1996–1999)
7,Return to prominence (2000–present)
8,Other work
9,Politics
10,Television appearances
11,Voice-acting
12,Humanitarian causes
13,Business investments
14,Personal life
15,Filmography
16,"Awards, honours and legacy"
17,Autobiography
18,Biographies
19,See also
20,References
21,Further reading
22,External links
