,Player
0, Marnus Labuschagne AUSTRALIA 
1, Steven Smith AUSTRALIA 
2, Kane Williamson NEW ZEALAND 
3, Joe Root ENGLAND 
4, Babar Azam PAKISTAN 
5, Dimuth Karunaratne SRI LANKA 
6, Usman Khawaja AUSTRALIA 
7, Rohit Sharma INDIA 
8, Travis Head AUSTRALIA 
9, Virat Kohli INDIA 
10, Rishabh Pant INDIA 
11, David Warner AUSTRALIA 
12, Dean Elgar SOUTH AFRICA 
13, Tom Latham NEW ZEALAND 
14, Henry Nicholls NEW ZEALAND 
15, Azhar Ali PAKISTAN 
16, Devon Conway NEW ZEALAND 
17, Mohammad Rizwan PAKISTAN 
18, Mayank Agarwal INDIA 
19, Liton Das BANGLADESH 
20, Abid Ali PAKISTAN 
21, Temba Bavuma SOUTH AFRICA 
22, Cheteshwar Pujara INDIA 
23, Colin de Grandhomme NEW ZEALAND 
24, Kraigg Brathwaite WEST INDIES 
25, Angelo Mathews SRI LANKA 
26, Sean Williams ZIMBABWE 
27, Ben Stokes ENGLAND 
28, Mushfiqur Rahim BANGLADESH 
29, Dhananjaya de Silva SRI LANKA 
30, Ajinkya Rahane INDIA 
31, Niroshan Dickwella SRI LANKA 
32, Abdullah Shafique PAKISTAN 
33, Shreyas Iyer INDIA 
34, Tamim Iqbal BANGLADESH 
35, KL Rahul INDIA 
36, Jermaine Blackwood WEST INDIES 
37, Nkrumah Bonner WEST INDIES 
38, Ravindra Jadeja INDIA 
39, Fawad Alam PAKISTAN 
40, Keegan Petersen SOUTH AFRICA 
41, Aiden Markram SOUTH AFRICA 
42, Shakib Al Hasan BANGLADESH 
43, Cameron Green AUSTRALIA 
44, Rassie van der Dussen SOUTH AFRICA 
45, Jonny Bairstow ENGLAND 
46, Rory Burns ENGLAND 
47, Faf du Plessis SOUTH AFRICA 
48, Tom Blundell NEW ZEALAND 
49, Sikandar Raza ZIMBABWE 
50, Mominul Haque BANGLADESH 
51, Hanuma Vihari INDIA 
52, Kusal Mendis SRI LANKA 
53, Pathum Nissanka SRI LANKA 
54, Tim Paine AUSTRALIA 
55, Shubman Gill INDIA 
56, Mahmudullah BANGLADESH 
57, Jos Buttler ENGLAND 
58, Dinesh Chandimal SRI LANKA 
59, Jason Holder WEST INDIES 
60, Zak Crawley ENGLAND 
61, Ibrahim Zadran AFGHANISTAN 
62, Joshua Da Silva WEST INDIES 
63, Imam-ul-Haq PAKISTAN 
64, Faheem Ashraf PAKISTAN 
65, Shan Masood PAKISTAN 
66, Kusal Perera SRI LANKA 
67, Alex Carey AUSTRALIA 
68, Matthew Wade AUSTRALIA 
69, Ollie Pope ENGLAND 
70, Joe Burns AUSTRALIA 
71, Shane Dowrich WEST INDIES 
72, Kyle Verreynne SOUTH AFRICA 
73, Lahiru Thirimanne SRI LANKA 
74, Daryl Mitchell NEW ZEALAND 
75, Kyle Mayers WEST INDIES 
76, Oshada Fernando SRI LANKA 
77, Washington Sundar INDIA 
78, Dominic Sibley ENGLAND 
79, Chris Woakes ENGLAND 
80, Regis Chakabva ZIMBABWE 
81, Dawid Malan ENGLAND 
82, Najmul Hossain Shanto BANGLADESH 
83, Marcus Harris AUSTRALIA 
84, Will Young NEW ZEALAND 
85, Ravichandran Ashwin INDIA 
86, Hashmatullah Shahidi AFGHANISTAN 
87, Shai Hope WEST INDIES 
88, Mitchell Starc AUSTRALIA 
89, John Campbell WEST INDIES 
90, Mahmudul Hasan Joy BANGLADESH 
91, Haris Sohail PAKISTAN 
92, Rahmat Shah AFGHANISTAN 
93, Shamarh Brooks WEST INDIES 
94, Roston Chase WEST INDIES 
95, Sarel Erwee SOUTH AFRICA 
96, Darren Bravo WEST INDIES 
97, Sam Curran ENGLAND 
98, Soumya Sarkar BANGLADESH 
