,Player
0, Alyssa Healy AUSTRALIA 
1, Natalie Sciver ENGLAND 
2, Beth Mooney AUSTRALIA 
3, Laura Wolvaardt SOUTH AFRICA 
4, Meg Lanning AUSTRALIA 
5, Rachael Haynes AUSTRALIA 
6, Mithali Raj INDIA 
7, Amy Satterthwaite NEW ZEALAND 
8, Smriti Mandhana INDIA 
9, Tammy Beaumont ENGLAND 
10, Ellyse Perry AUSTRALIA 
11, Deandra Dottin WEST INDIES 
12, Stafanie Taylor WEST INDIES 
13, Harmanpreet Kaur INDIA 
14, Heather Knight ENGLAND 
15, Amelia Kerr NEW ZEALAND 
16, Sophie Devine NEW ZEALAND 
17, Lizelle Lee SOUTH AFRICA 
18, Mignon du Preez SOUTH AFRICA 
19, Suzie Bates NEW ZEALAND 
20, Hayley Matthews WEST INDIES 
21, Marizanne Kapp SOUTH AFRICA 
22, Sune Luus SOUTH AFRICA 
23, Ashleigh Gardner AUSTRALIA 
24, Danielle Wyatt ENGLAND 
25, Bismah Maroof PAKISTAN 
26, Amy Jones ENGLAND 
27, Maddy Green NEW ZEALAND 
28, Deepti Sharma INDIA 
29, Fargana Hoque BANGLADESH 
30, Aliya Riaz PAKISTAN 
31, Tahlia McGrath AUSTRALIA 
32, Chloe Tryon SOUTH AFRICA 
33, Nahida Khan PAKISTAN 
34, Gaby Lewis IRELAND 
35, Sophia Dunkley ENGLAND 
36, Punam Raut INDIA 
37, Nida Dar PAKISTAN 
38, Katey Martin NEW ZEALAND 
39, Yastika Bhatia INDIA 
40, Javeria Khan PAKISTAN 
41, Laura Delany IRELAND 
42, Dane van Niekerk SOUTH AFRICA 
43, Rumana Ahmed BANGLADESH 
44, Shafali Verma INDIA 
45, Shemaine Campbelle WEST INDIES 
46, Omaima Sohail PAKISTAN 
47, Katherine Brunt ENGLAND 
48, Brooke Halliday NEW ZEALAND 
49, Richa Ghosh INDIA 
50, Jess Jonassen AUSTRALIA 
51, Trisha Chetty SOUTH AFRICA 
52, Sidra Ameen PAKISTAN 
53, Lauren Winfield-Hill ENGLAND 
54, Sharmin Akhter BANGLADESH 
55, Jhulan Goswami INDIA 
56, Nigar Sultana BANGLADESH 
57, Muneeba Ali PAKISTAN 
58, Salma Khatun BANGLADESH 
59, Leah Paul IRELAND 
60, Chedean Nation WEST INDIES 
61, Pooja Vastrakar INDIA 
62, Lata Mondal BANGLADESH 
63, Lauren Down NEW ZEALAND 
64, Lara Goodall SOUTH AFRICA 
65, Katie Perkins NEW ZEALAND 
66, Nicola Carey AUSTRALIA 
67, Sophie Ecclestone ENGLAND 
68, Kycia Knight WEST INDIES 
69, Murshida Khatun BANGLADESH 
70, Shamima Sultana BANGLADESH 
71, Mary Waldron IRELAND 
72, Mary-Anne Musonda ZIMBABWE 
73, Shikha Pandey INDIA 
74, Annabel Sutherland AUSTRALIA 
75, Jess Kerr NEW ZEALAND 
76, Tazmin Brits SOUTH AFRICA 
77, Kate Cross ENGLAND 
78, Ritu Moni BANGLADESH 
79, Amy Hunter IRELAND 
80, Jemimah Rodrigues INDIA 
81, Kyshona Knight WEST INDIES 
82, Josephine Nkomo ZIMBABWE 
83, Sabbhineni Meghana INDIA 
84, Eimear Richardson IRELAND 
85, Sneh Rana INDIA 
86, Lea Tahuhu NEW ZEALAND 
87, Priya Punia INDIA 
88, Hayley Jensen NEW ZEALAND 
89, Rajeshwari Gayakwad INDIA 
90, Andrie Steyn SOUTH AFRICA 
91, Shauna Kavanagh IRELAND 
92, Nashra Sandhu PAKISTAN 
93, Diana Baig PAKISTAN 
94, Anya Shrubsole ENGLAND 
95, Orla Prendergast IRELAND 
96, Charlotte Dean ENGLAND 
97, Meghna Singh INDIA 
98, Sharne Mayers ZIMBABWE 
99, Megan Schutt AUSTRALIA 
