,Post
0,UP Police Sub Inspector SI Result 2022
1,MHA IB ACIO 2021 Final Result
2,UPPSC Pre 2020 Marks & Cutoff
3,UPPSC Pre 2019 Marks & Cutoff
4,UP UPPSC RO / ARO 2016 Pre Marks & Cutoff
5,ESIC UDC Result 2022
6,UPSC IFS 2021 Main Result
7,Bihar BPSC 66 Mains Result 2022
8,Rajasthan RSMSSB VDO Result 2022
9,RPSC Rajasthan Police Sub Inspector SI PET Exam Result 2022
10,UPPCL ARO 2021 Result 
11,UPPCL Junior Engineer Civil 2021 Result 
12,UPPCL Assistant Accountant 2021 Result 
13,SSC CPO SI 2019 Final Result
14,SSC CGL 2019 Tier I Final Result
15,UPTET Result 2022 Today
16,RSMSSB Computer Final Result 2022 
17,UPPCL APS 2021 Skill Test Result 
18,UPPCL Account Clerk Lekha Lipik 2020 Skill Test Result 
19,SSC Stenographer 2019 Skill Test Result
20,SEBI Assistant Manager Grade A Phase II Result 2022
21,SSC Delhi Constable 2020 Final Result (With Held Candidate)
22,UPTET Result Date 2022
23,CSBC Bihar Police Prohibition Constable Result 2022
24,RSMSSB Motor Vehicle MVSI Result 2022
25,UPPSC Technical Education Teaching Services Result 2022
26,BTSC Junior Engineer 2019 Final Result
27,"UP Police SI Confidential, ASI Ministerial / Account Result 2022"
28,IBPS PO XI Final Result 2022
29,IBPS Clerk XI Mains Result 2022
30,IBPS Clerk X Reserve List 2022
31,IBPS SO X Reserve List 2022
32,Bihar Board BSEB Class 10 Matric Result 2022
33,UPSC Engineering Services Pre Result 2022
34,Railway RRB NTPC Revised Result 2022
35,UPPSC Staff Nurse 2021 Marksheet 
36,Delhi Forest Guard Result 2022
37,UPSC Engineering Services 2021 Final Result 
38,Nainital Bank Clerk / MT Result 2022
39,UPSC Geologist Result 2022
40,SSC GD Constable Result 2022
41,MP Police Constable Result 2022
42,IIT GATE 2022 Result with Score Card
43,UPSC CDS I 2021 OTA Final Result 
44,UPSC Civil Services IAS 2021 Mains Result 
45,Indian Navy MR April 2022 Batch Merit List 
46,Bihar Board BSEB 12th Inter Result 2022 
47,SBI PO Final Result 2022 
48,India Post Uttarakhand GDS Result 2022 
49,UPSSSC Excise Constable 2016 Final Result 
50,Delhi District Court Process Server Final Result 2022 
51,NIACL AO Phase I and II Marks 2022 
52,UPPCL Junior Engineer JE 2020 Result 
53,UPSSSC Lower 2019 Mains Result 
54,CBSE Board Term II Exam Time Table 2022 
55,Railway RRB NTPC Additional Result Notice 
56,UP Election Result 2022
57,NTA CSIR UGC NET Result 2022 
58,CTET December 2021 Result
59,CGPSC Pre 2021 Exam Results 
60,Indian Airforce AFCAT 01/2022 Result 
61,UP Board Time Table 2022
62,UPHESC Assistant Professor Updated Result 2022
63,BPSSC ASI Steno Result 2022
64,RSMSSB Agriculture Supervisor 2021 Final Result
65,Indian Army TES 46 Merit List 
66,Delhi High Court JJA Mains Result 2022 
67,Allahabad High Court RO / ARO Result 2022 
68,Allahabad High Court Computer Assistant Result 2022 
69,SSC Selection Post VIII Additional Result 2022 
70,Army School AWES TGT PGT PRT Result 2022
71,NTA All India Sainik School AISSEE Entrance Result 2022
72,HSSC Haryana Police SI Revised Result 2022 
73,SSC MTS 2020 Paper I Result 
74,SSC CHSL 2019 Skill Test Result 
75,SEBI Assistant Manager Grade A Result 2022 
76,AAI Junior Executive 2020 Result 
77,SSC Junior Engineer 2020 Paper II Result 
78,RSMSSB Computer 2021 Result 
79,RBI Office Attendant 2020 Final Result 
80,NSUT Various Non Teaching Post Result 2022
81,UPRVUNL Various Post Online Form 2022 
82,NTA UGC NET Result 2022 
83,RSMSSB Stenographer 2018 Phase II Exam Results 
84,UPHESC Assistant Professor Result 2022 
85,BPSC Assistant Conservator Forest 2019 Final Result 
86,IBPS SO XI Main Result 2022 
87,MPPSC Pre 2020 Result with Score Card 
88,BPSC Civil Judge 2020 Main Result 
89,IBPS PO XI Main Result 2022 
90,RPSC Sub Inspector SI 2021 Marks 
91,DSSSB TGT 34/21 Hindi Result 
92,CISCE Board 12 & 10 1st Semester Result 2022
93,DFCCIL Various Post 04/2021 Result 
94,SSC Upcoming Result 2022 
95,Bihar Police BPSSSC Sub Inspector SI Result 2022
96,UPSC Civil Services 2020 Not Qualified Candidate Marks 
97,SSC CPO SI 2019 Final Result 
98,DFCCIL Junior Manager Result 2022
99,MP PEB Group II Sub Group IV 2020 Re Exam Result 
100,VBSPU Backpaper & Improvement Exam Result 2022 
101,UPPSC RO / ARO Pre 2021 Result 
102,MPPSC State Engineering Service 2020 Result 
103,SSC Stenographer 2020 Result with Marks
104,Haryana HTET 2021 Result 
105,UPPSC Lecturer Ashram Paddhati 2021 Prelim Result 
106,SSC Junior Engineer 2019 Final Result 
107,Coast Guard Assistant Commandant 01/2022 Final Result 
108,MP PEB Group V Re Exam Paper K Result 2022 
109,BPSC Auditor Pre 2020 Result
110,BPSC Project Manager 2020 Result
111,SBI PO Mains Result 2022
112,RSMSSB Patwari Result 2022
113,MP PEB Gramin Krishi Vistar Adhikari Re Exam Result 2022 
114,SSC Stenographer 2020 Result
115,Rajasthan High Court Civil Judge Pre Result with Marks 2022
116,UPPSC Exam Calendar 2022
117,India Post GDS Bihar / Maharashtra Result 2022 
118,IBPS SO XI Pre Result 2022
119,RPSC Vidhi Rachanakar Provisional List with Cutoff 2022 
120,MP PAT 2021 Result
121,MPPSC State Service 2020 SSE / SFE Pre Result 
122,Railway RRB NTPC Stage I Exam Result 
123,MPPEB PVFT Entrance Result 2022 
124,IBPS Clerk XI Pre Result 2022 
125,NIACL AO Phase II Exam Result 2022 
126,CSBC Bihar Police Driver 2019 Final Result
127,CSBC Bihar Police Home Guard Driver 2019 Final Result
128,UP Election 2022 Date – District Wise 
129,UKSSSC Forest Inspector 2019 Result 
130,UPRVUNL ARO 2019 Final Result
131,UPSC Engineering Services 2020 Reserve List
132,SSC CPO SI 2020 Paper II Result
133,UP 69000 Assistant Teacher New Result
134,IBPS PO XI Pre Result 2022
135,MP PEB DAHET 2021 Result
