,Title,Lifetime_Grossing
0,Avatar,"$2,847,246,203"
1,Avengers: Endgame,"$2,797,501,328"
2,Titanic,"$2,201,647,264"
3,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700"
4,Avengers: Infinity War,"$2,048,359,754"
5,Jurassic World,"$1,670,516,444"
6,The Lion King,"$1,667,635,327"
7,The Avengers,"$1,518,815,515"
8,Furious 7,"$1,515,341,399"
9,Frozen II,"$1,450,026,933"
10,Avengers: Age of Ultron,"$1,402,809,540"
11,Black Panther,"$1,347,597,973"
12,Harry Potter and the Deathly Hallows: Part 2,"$1,342,321,665"
13,Star Wars: Episode VIII - The Last Jedi,"$1,332,698,830"
14,Jurassic World: Fallen Kingdom,"$1,310,466,296"
15,Frozen,"$1,281,508,100"
16,Beauty and the Beast,"$1,264,434,525"
17,Incredibles 2,"$1,244,639,527"
18,The Fate of the Furious,"$1,236,005,118"
19,Iron Man 3,"$1,214,811,252"
20,Minions,"$1,159,444,662"
21,Captain America: Civil War,"$1,153,337,496"
22,Aquaman,"$1,148,485,886"
23,The Lord of the Rings: The Return of the King,"$1,146,030,912"
24,Spider-Man: Far from Home,"$1,131,927,996"
25,Captain Marvel,"$1,128,462,972"
26,Transformers: Dark of the Moon,"$1,123,794,079"
27,Skyfall,"$1,108,569,499"
28,Transformers: Age of Extinction,"$1,104,054,072"
29,The Dark Knight Rises,"$1,081,142,612"
30,Star Wars: Episode IX - The Rise of Skywalker,"$1,078,232,589"
31,Joker,"$1,074,419,384"
32,Toy Story 4,"$1,073,394,593"
33,Toy Story 3,"$1,066,970,811"
34,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747"
35,The Lion King,"$1,063,611,805"
36,Rogue One: A Star Wars Story,"$1,056,057,720"
37,Aladdin,"$1,050,693,953"
38,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802"
39,Despicable Me 3,"$1,034,800,131"
40,Jurassic Park,"$1,033,928,303"
41,Finding Dory,"$1,028,570,942"
42,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707"
43,Alice in Wonderland,"$1,025,468,216"
44,Zootopia,"$1,024,121,104"
45,The Hobbit: An Unexpected Journey,"$1,017,003,568"
46,Harry Potter and the Sorcerer's Stone,"$1,009,472,460"
47,The Dark Knight,"$1,005,973,645"
48,Harry Potter and the Deathly Hallows: Part 1,"$977,043,483"
49,Despicable Me 2,"$970,766,005"
50,The Jungle Book,"$966,554,929"
51,Jumanji: Welcome to the Jungle,"$962,542,945"
52,The Hobbit: The Battle of the Five Armies,"$962,182,865"
53,Pirates of the Caribbean: At World's End,"$960,996,492"
54,The Hobbit: The Desolation of Smaug,"$959,007,513"
55,The Lord of the Rings: The Two Towers,"$947,495,095"
56,Harry Potter and the Order of the Phoenix,"$942,172,396"
57,Finding Nemo,"$940,352,645"
58,Harry Potter and the Half-Blood Prince,"$934,454,096"
59,Shrek 2,"$928,760,770"
60,Bohemian Rhapsody,"$911,100,727"
61,The Lord of the Rings: The Fellowship of the Ring,"$897,690,072"
62,Harry Potter and the Goblet of Fire,"$896,678,241"
63,Spider-Man 3,"$894,983,373"
64,Ice Age: Dawn of the Dinosaurs,"$886,686,817"
65,Spectre,"$880,681,519"
66,Spider-Man: Homecoming,"$880,166,924"
67,Harry Potter and the Chamber of Secrets,"$879,602,366"
68,Ice Age: Continental Drift,"$877,244,782"
69,The Secret Life of Pets,"$875,458,631"
70,Batman v Superman: Dawn of Justice,"$873,637,528"
71,Wolf Warrior 2,"$870,325,439"
72,Star Wars: Episode III - Revenge of the Sith,"$868,390,560"
73,The Hunger Games: Catching Fire,"$865,011,746"
74,Guardians of the Galaxy Vol. 2,"$863,756,051"
75,Inside Out,"$858,848,019"
76,Venom,"$856,085,151"
77,Thor: Ragnarok,"$853,983,911"
78,Inception,"$836,836,967"
79,Transformers: Revenge of the Fallen,"$836,303,693"
80,The Twilight Saga: Breaking Dawn - Part 2,"$829,747,654"
81,Spider-Man,"$825,025,036"
82,Wonder Woman,"$822,824,522"
83,"Hi, Mom","$822,009,764"
84,Independence Day,"$817,400,891"
85,Fantastic Beasts and Where to Find Them,"$814,044,001"
86,Shrek the Third,"$813,367,380"
87,Coco,"$807,817,888"
88,Jumanji: The Next Level,"$800,059,707"
89,Harry Potter and the Prisoner of Azkaban,"$797,361,618"
90,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,881,442"
91,E.T. the Extra-Terrestrial,"$792,910,554"
92,Mission: Impossible - Fallout,"$791,657,398"
93,2012,"$791,217,826"
94,Indiana Jones and the Kingdom of the Crystal Skull,"$790,653,942"
95,Spider-Man 2,"$788,976,453"
96,Fast & Furious 6,"$788,680,968"
97,Deadpool 2,"$786,470,484"
98,Deadpool,"$782,836,791"
99,Star Wars: Episode IV - A New Hope,"$775,398,007"
100,Guardians of the Galaxy,"$773,350,147"
101,The Da Vinci Code,"$760,006,945"
102,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935"
103,Maleficent,"$758,411,779"
104,The Amazing Spider-Man,"$757,930,663"
105,The Hunger Games: Mockingjay - Part 1,"$755,356,711"
106,Shrek Forever After,"$752,600,867"
107,Madagascar 3: Europe's Most Wanted,"$746,921,274"
108,Suicide Squad,"$746,846,894"
109,X-Men: Days of Future Past,"$746,045,700"
110,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115"
111,Monsters University,"$743,559,645"
112,The Matrix Reloaded,"$741,847,937"
113,Up,"$735,099,102"
114,Ne Zha,"$726,264,074"
115,Gravity,"$723,192,705"
