theme,url,img,lines,author
MENTORING,/inspirational-quotes/8231-the-delicate-balance-of-mentoring-someone-is,https://assets.passiton.com/quotes/quote_artwork/8231/medium/20210618_friday_quote.jpg?1623272441,"The delicate balance of mentoring someone is not creating them in your own image, but giving them the opportunity to create themselves.",<Author:0x000055aec669aa58>
MENTORING,/inspirational-quotes/8230-a-good-coach-can-change-a-game-a-great-coach,https://assets.passiton.com/quotes/quote_artwork/8230/medium/20210617_thursday_quote.jpg?1623272410,A good coach can change a game. A great coach can change a life.,<Author:0x000055aec66bc478>
MENTORING,/inspirational-quotes/8229-mentoring-is-a-brain-to-pick-an-ear-to-listen,https://assets.passiton.com/quotes/quote_artwork/8229/medium/20210616_wednesday_quote.jpg?1623272379,"Mentoring is a brain to pick, an ear to listen, and a push in the right direction.",<Author:0x000055aec66f31f8>
MENTORING,/inspirational-quotes/8228-my-mentor-said-let-s-go-do-it-not-you-go,https://assets.passiton.com/quotes/quote_artwork/8228/medium/20210615_tuesday_quote.jpg?1623272351,"My mentor said, ‘Let’s go do it,’ not ‘You go do it.’ How powerful when someone says, ‘Let’s!’.",<Author:0x000055aec67108e8>
MENTORING,/inspirational-quotes/8227-a-mentor-is-someone-who-sees-more-talent-and,https://assets.passiton.com/quotes/quote_artwork/8227/medium/20210614_monday_quote.jpg?1623272323,"A mentor is someone who sees more talent and ability within you, than you see in yourself, and helps bring it out of you.",<Author:0x000055aec6737b78>
GET OUTSIDE,/inspirational-quotes/8226-an-early-morning-walk-is-a-blessing-for-the,https://assets.passiton.com/quotes/quote_artwork/8226/medium/20210611_friday_quote.jpg?1622833944,An early morning walk is a blessing for the whole day.,<Author:0x000055aec675c3b0>
GET OUTSIDE,/inspirational-quotes/8225-the-antidote-to-exhaustion-isn-t-rest-it-s,https://assets.passiton.com/quotes/quote_artwork/8225/medium/20210610_thursday_quote.jpg?1622833853,The antidote to exhaustion isn’t rest. It’s nature.,<Author:0x000055aec6794af8>
GET OUTSIDE,/inspirational-quotes/7870-i-go-to-nature-to-be-soothed-and-healed-and-to,https://assets.passiton.com/quotes/quote_artwork/7870/medium/20210609_wednesday_quote.jpg?1622833828,"I go to nature to be soothed and healed, and to have my senses put in order.",<Author:0x000055aec67c4d70>
GET OUTSIDE,/inspirational-quotes/8023-the-joy-of-life-comes-from-our-encounters-with,https://assets.passiton.com/quotes/quote_artwork/8023/medium/20210608_tuesday_quote.jpg?1622833774,"The joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun.",<Author:0x000055aec67f7540>
GET OUTSIDE,/inspirational-quotes/8224-of-all-the-paths-you-take-in-life-make-sure-a,https://assets.passiton.com/quotes/quote_artwork/8224/medium/20210607_monday_quote.jpg?1622833667,"Of all the paths you take in life, make sure a few of them are dirt.",<Author:0x000055aec6815a40>
LIVE YOUR DREAMS,/inspirational-quotes/8223-no-matter-where-you-re-from-your-dreams-are,https://assets.passiton.com/quotes/quote_artwork/8223/medium/20210604_friday_quote.jpg?1622420775,"No matter where you’re from, your dreams are valid.",<Author:0x000055aec68381d0>
LIVE YOUR DREAMS,/inspirational-quotes/8222-follow-your-dreams-they-know-the-way,https://assets.passiton.com/quotes/quote_artwork/8222/medium/20210603_thursday_quote.jpg?1622420752,"Follow your dreams, they know the way.",<Author:0x00007f0fbc710228>
LIVE YOUR DREAMS,/inspirational-quotes/7118-don-t-ask-what-the-world-needs-ask-what-makes,https://assets.passiton.com/quotes/quote_artwork/7118/medium/20210602_wednesday_quote.jpg?1622420730,"Don’t ask what the world needs. Ask what makes you come alive, and go do it. Because what the world needs is people who have come alive.",<Author:0x00007f0fbc7440f0>
LIVE YOUR DREAMS,/inspirational-quotes/5674-youre-off-to-great-places-today-is-your,https://assets.passiton.com/quotes/quote_artwork/5674/medium/20210601_tuesday_quote.jpg?1622420702,"You're off to Great Places!
Today is your day!
Your mountain is waiting,
So... get on your way!",<Author:0x00007f0fbc772810>
LIVE YOUR DREAMS,/inspirational-quotes/4137-go-confidently-in-the-direction-of-your-dreams,https://assets.passiton.com/quotes/quote_artwork/4137/medium/20210531_monday_quote.jpg?1622420661,Go confidently in the direction of your dreams! Live the life you've imagined.,<Author:0x00007f0fbc7b1c90>
LEADERSHIP,/inspirational-quotes/8221-if-your-actions-create-a-legacy-that-inspires,https://assets.passiton.com/quotes/quote_artwork/8221/medium/20210528_friday_quote.jpg?1621631390,"If your actions create a legacy that inspires others to dream more, learn more, do more and become more, then, you are an excellent leader.",<Author:0x00007f0fbc7e82e0>
LEADERSHIP,/inspirational-quotes/8220-one-of-the-tests-of-leadership-is-the-ability,https://assets.passiton.com/quotes/quote_artwork/8220/medium/20210527_thursday_quote.jpg?1621631378,One of the tests of leadership is the ability to recognize a problem before it becomes an emergency.,<Author:0x00007f0fbc81dc60>
LEADERSHIP,/inspirational-quotes/8219-before-you-are-a-leader-success-is-all-about,https://assets.passiton.com/quotes/quote_artwork/8219/medium/20210526_wednesday_quote.jpg?1621631365,"Before you are a leader, success is all about growing yourself. When you become a leader, success is all about growing others.",<Author:0x00007f0fbc8447e8>
LEADERSHIP,/inspirational-quotes/8218-a-leader-is-a-dealer-in-hope,https://assets.passiton.com/quotes/quote_artwork/8218/medium/20210525_tuesday_quote.jpg?1621631352,A leader is a dealer in hope.,<Author:0x00007f0fbc87aff0>
LEADERSHIP,/inspirational-quotes/8217-a-true-leader-has-the-confidence-to-stand,https://assets.passiton.com/quotes/quote_artwork/8217/medium/20210524_monday_quote.jpg?1621631340,"A true leader has the confidence to stand alone, the courage to make tough decisions, and the compassion to listen to the needs of others. They do not set out to be a leader, but become one by the equality of their actions and the integrity of their intentions.",<Author:0x00007f0fbc8bad80>
