,Player
0,Avatar
1,Avengers: Endgame
2,Titanic
3,Star Wars: The Force Awakens
4,Avengers: Infinity War
5,Jurassic World
6,The Lion King
7,The Avengers
8,Furious 7
9,Frozen II
10,Avengers: Age of Ultron
11,Black Panther
12,Harry Potter and the Deathly Hallows – Part 2
13,Star Wars: The Last Jedi
14,Jurassic World: Fallen Kingdom
15,Frozen
16,Beauty and the Beast
17,Incredibles 2
18,The Fate of the Furious
19,Iron Man 3
20,Minions
21,Captain America: Civil War
22,Aquaman
23,The Lord of the Rings: The Return of the King
24,Spider-Man: Far From Home
25,Captain Marvel
26,Transformers: Dark of the Moon
27,Skyfall
28,Transformers: Age of Extinction
29,The Dark Knight Rises
30,Joker
31,Star Wars: The Rise of Skywalker
32,Toy Story 4
33,Toy Story 3
34,Pirates of the Caribbean: Dead Man's Chest
35,Rogue One: A Star Wars Story
36,Aladdin
37,Pirates of the Caribbean: On Stranger Tides
38,Despicable Me 3
39,Jurassic Park
40,Finding Dory
41,Star Wars: Episode I – The Phantom Menace
42,Alice in Wonderland
43,Zootopia
44,The Hobbit: An Unexpected Journey
45,Harry Potter and the Philosopher's Stone
46,The Dark Knight
47,Harry Potter and the Deathly Hallows – Part 1
48,Despicable Me 2
49,The Lion King
