,Player
0,Jeff Bezos
1,Bernard Arnault
2,Elon Musk
3,Bill Gates
4,Mark Zuckerberg
5,Warren Buffett
6,Larry Page
7,Sergey Brin
8,Steve Ballmer
9,Larry Ellison
10,Françoise Bettencourt-Meyers
11,Mukesh Ambani
12,Amancio Ortega Gaona
13,Vladimir Putin
14,Gautam Adani
15,Ma Huateng
16,Charles Koch
17,Julia Flesher Koch
18,Zhong Shanshan
19,Rob Walton
20,Alice Walton
21,Jim Walton
22,Michael Bloomberg
23,Colin Huang
24,Satoshi Nakamoto
25,Phil Knight
26,Carlos Slim Helu
27,Jack Ma
28,Francois Pinault
29,Zhang Yiming
30,John Mars
31,Jacqueline Mars
32,Tadashi Yanai
33,Dan Gilbert
34,Qin Yinglin
35,Li Ka-shing
36,Miriam Adelson
37,Len Blavatnik
38,David Thomson
39,Gina Rinehart
40,Sheikh Mansour bin Zayed Al Nahyan
41,Hui Ka Yan
42,Vladimir Potanin
43,Michael Dell
44,Maha Vajiralongkorn
45,Sultan of Brunei
46,Giovanni Ferrero
47,William Ding
48,Shiv Nadar
49,Stefan Persson
50,Joseph Safra
51,Eric Yuan
52,Gerard Wertheimer
53,Forrest Mars
54,Leonid Mikhelson
55,Yang Huiyan
56,He Xiangjian
57,Takemitsu Takizaki
58,Vladimir Lisin
59,Forrest Mars Jr
60,Eric Schmidt
61,Jorge Paulo Lemann
62,Wang Wei
63,James Simons
64,Dieter Schwarz
65,Ken Griffin
66,Masayoshi Son
67,Laurene Powell Jobs
68,Dustin Moskovitz
69,Zhang Zhidong
70,Alain Wertheimer
71,Leonard Lauder
72,Vagit Alekperov
73,John Menard
74,Elaine Marshall
75,Prince Al Waleed Bin Talal Alsaud
76,Leonardo Del Vecchio
77,Alexey Mordashov
78,Gennady Timchenko
79,Lee Shau Kee
80,Zhong Huijuan
81,Carl Icahn
82,James Dyson
83,Dietrich Mateschitz
84,Sir Evelyn De Rothschild
85,Salman bin Abdulaziz Al Saud
86,Rupert Murdoch
87,Theo Albrecht
88,Pallonji Mistry
89,Petr Kellner
90,Abigail Johnson
91,Susanne Klatten
92,James Ratcliffe
93,Stephen Schwarzman
94,Lukas Walton
95,Lakshmi Mittal
96,Sheikh Khalifa Bin Zayed Al Nahyan
97,Roman Abramovich
98,David & Simon Reuben
99,Serge Dassault
