,name
0,"
            It Happened One Night (1934)"
1,"
            Modern Times (1936)"
2,"
            Black Panther (2018)"
3,"
            Citizen Kane (1941)"
4,"
            The Wizard of Oz (1939)"
5,"
            Parasite (Gisaengchung) (2019)"
6,"
            Avengers: Endgame (2019)"
7,"
            Casablanca (1942)"
8,"
            Knives Out (2019)"
9,"
            Us (2019)"
10,"
            Toy Story 4 (2019)"
11,"
            Lady Bird (2017)"
12,"
            Mission: Impossible - Fallout (2018)"
13,"
            BlacKkKlansman (2018)"
14,"
            Get Out (2017)"
15,"
            The Irishman (2019)"
16,"
            The Godfather (1972)"
17,"
            Mad Max: Fury Road (2015)"
18,"
            Spider-Man: Into the Spider-Verse (2018)"
19,"
            All About Eve (1950)"
20,"
            The Philadelphia Story (1940)"
21,"
            Moonlight (2016)"
22,"
            Wonder Woman (2017)"
23,"
            The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920)"
24,"
            A Star Is Born (2018)"
25,"
            Rebecca (1940)"
26,"
            Inside Out (2015)"
27,"
            A Quiet Place (2018)"
28,"
            Eighth Grade (2018)"
29,"
            Roma (2018)"
30,"
            Rear Window (1954)"
31,"
            Booksmart (2019)"
32,"
            Dunkirk (2017)"
33,"
            Coco (2017)"
34,"
            A Night at the Opera (1935)"
35,"
            Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020)"
36,"
            Selma (2014)"
37,"
            The Shape of Water (2017)"
38,"
            Thor: Ragnarok (2017)"
39,"
            Spotlight (2015)"
40,"
            The Farewell (2019)"
41,"
            Seven Samurai (Shichinin no Samurai) (1956)"
42,"
            The Third Man (1949)"
43,"
            La Grande illusion (Grand Illusion) (1938)"
44,"
            Arrival (2016)"
45,"
            All Quiet on the Western Front (1930)"
46,"
            Singin' in the Rain (1952)"
47,"
            The Favourite (2018)"
48,"
            An American in Paris (1951)"
49,"
            Logan (2017)"
50,"
            Double Indemnity (1944)"
51,"
            Snow White and the Seven Dwarfs (1937)"
52,"
            Marriage Story (2019)"
53,"
            The Big Sick (2017)"
54,"
            On the Waterfront (1954)"
55,"
            Star Wars: The Last Jedi (2017)"
56,"
            E.T. The Extra-Terrestrial (1982)"
57,"
            Star Wars: Episode VII - The Force Awakens (2015)"
58,"
            North by Northwest (1959)"
59,"
            Boyhood (2014)"
60,"
            The Best Years of Our Lives (1946)"
61,"
            The Adventures of Robin Hood (1938)"
62,"
            12 Years a Slave (2013)"
63,"
            Manchester by the Sea (2016)"
64,"
            Argo (2012)"
65,"
            Leave No Trace (2018)"
66,"
            The Kid (1921)"
67,"
            Once Upon a Time In Hollywood (2019)"
68,"
            La La Land (2016)"
69,"
            Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)"
70,"
            Alien (1979)"
71,"
            King Kong (1933)"
72,"
            Laura (1944)"
73,"
            Spider-Man: Far From Home (2019)"
74,"
            Psycho (1960)"
75,"
            Incredibles 2 (2018)"
76,"
            Zootopia (2016)"
77,"
            Call Me by Your Name (2018)"
78,"
            Shadow of a Doubt (1943)"
79,"
            War for the Planet of the Apes (2017)"
80,"
            Gravity (2013)"
81,"
            Paddington 2 (2018)"
82,"
            The Maltese Falcon (1941)"
83,"
            The Florida Project (2017)"
84,"
            Sunset Boulevard (1950)"
85,"
            1917 (2020)"
86,"
            Widows (2018)"
87,"
            A Hard Day's Night (1964)"
88,"
            The Invisible Man (2020)"
89,"
            The Battle of Algiers (La Battaglia di Algeri) (1967)"
90,"
            The Godfather, Part II (1974)"
91,"
            Baby Driver (2017)"
92,"
            Spider-Man: Homecoming (2017)"
93,"
            Never Rarely Sometimes Always (2020)"
94,"
            Top Hat (1935)"
95,"
            Pain and Glory (Dolor y gloria) (2019)"
96,"
            Schindler's List (1993)"
97,"
            Shoplifters (Manbiki kazoku) (2018)"
98,"
            M (1931)"
99,"
            Metropolis (1927)"
